,City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
153,Hong Kong,Sheraton Hong Kong Hotel & Towers,"20 Nathan Road, Hong Kong",8.3,"(1,152)",£320total,Booking.com
154,Hong Kong,Harbour Grand Kowloon,"20 Tak Fung Street, Hong Kong",8.3,"(1,534)",£338total,Booking.com
155,Hong Kong,Sea View Holiday House,Islands District,6.8,(419),£156total,Booking.com
156,Hong Kong,"Kowloon Shangri-La, Hong Kong","64 Mody Road, Hong Kong",8.9,"(2,057)",£439total,Booking.com
157,Hong Kong,Kew Green Hotel Wanchai Hong Kong,"41-49 Hennessy Road, Hong Kong",8.3,"(2,401)",£130total,Kew Green Hotel Wanchai Hong Kong
158,Hong Kong,The Jervois,Central and Western District,8.9,(321),£744total,Hotels.com
159,Prague,Art Deco Imperial Hotel,"Na Porici 15, 110 00 Prague, Prague Region",9.1,"(3,343)",£327total,Booking.com
160,Prague,Hilton Prague,"Pobrezni 311/1, 186 00 Prague, Prague Region",8.0,"(2,910)",£346total,Booking.com
161,Prague,Hotel Augustus et Otto,"Smíchov Na Celné 508/3, Prague, Prague Region",8.1,(792),£96total,Booking.com
162,Prague,Angel City Apartments,Prague 5,9.1,"(1,169)",£216total,Booking.com
163,Prague,Cosmopolitan Hotel Prague,"Zlatnicka 3, 11000 Prague, Prague Region",9.2,"(2,758)",£311total,Booking.com
164,Prague,Occidental Praha Wilson,"Václavské Námestí, 59, 110 00 Prague, Prague Region",8.5,(795),£229total,Booking.com
165,Prague,Prague Castle Apartments Pawlansky,Prague 1,9.3,(166),£357total,Booking.com
166,Prague,Grand Hotel Bohemia,"Kralodvorska 4, Prague, Prague Region",9.1,"(2,566)",£375total,Booking.com
167,Prague,NH Collection Carlo IV,"Senovazne Namesti 13, 110 00 Prague, Prague Region",8.8,"(1,784)",£396total,NH Collection Hotels
168,Prague,Six Continents,Prague 1,9.0,(423),£171total,Hotels.com
169,Berlin,Aparthotel Adagio Berlin Kurfürstendamm,"Lietzenburger Straße 89 a, 10719 Berlin",8.4,"(1,871)",£178total,Booking.com
170,Berlin,Leonardo Royal Hotel Berlin Alexanderplatz,"Otto-Braun-Strasse 90, 10249 Berlin",8.5,"(8,655)",£289total,Booking.com
171,Berlin,Mercure Hotel Berlin Wittenbergplatz,"Wittenbergplatz 3, 10789 Berlin",8.9,"(2,899)",£237total,Booking.com
172,Berlin,Apartments Berlin Leberstraße 58,Schöneberg,7.6,(127),£196total,Booking.com
173,Berlin,NH Berlin Potsdamer Platz,"Stresemannstr. 47, 10963 Berlin",8.3,"(1,605)",£223total,NH Hotels
174,Berlin,Crowne Plaza Berlin - Potsdamer Platz,"Hallesche Str 10, 10963 Berlin",8.7,"(2,433)",£289total,Booking.com
175,Berlin,limehome Berlin Neue Straße,Tempelhof,8.0,(141),£281total,Booking.com
176,Berlin,Two Hotel Berlin By Axel - Adults Only,"Bundesallee 31a, 10717 Berlin",8.3,"(2,193)",£192total,Booking.com
177,Berlin,Steigenberger Hotel Am Kanzleramt,"Ella-Trebe-Straße 5, 10557 Berlin",8.8,"(5,154)",£422total,Booking.com
178,Berlin,Nena Apartments Metropolpark Berlin - Mitte,Mitte,8.2,"(1,491)",£302total,Booking.com
179,Orlando,DoubleTree by Hilton at the Entrance to Universal Orlando,"5780 Major Boulevard, Orlando, FL 32819",8.2,"(5,194)",£276total,Booking.com
180,Orlando,Penthouse Close to Disney area and Malls water view,"13428 Blue Heron Beach Drive Tower 1 suite 1603, Orlando, FL 32821",9.0,(14),£819total,Booking.com
181,Orlando,Hyatt Regency Grand Cypress,"1 Grand Cypress Boulevard, Orlando, FL 32836",9.0,"(2,226)",£842total,Booking.com
182,Orlando,Disney World - Universal Studio Family Vacation,,9.8,(21),£661total,Booking.com
183,Orlando,"Marriott's Grande Vista, A Marriott Vacation Club Resort","5925 Avenida Vista, Orlando, FL 32821",8.8,"(2,157)",£428total,Booking.com
184,Orlando,Hilton Grand Vacations at SeaWorld,"6924 Grand Vacations Way, Orlando, FL 32821",8.9,"(2,836)",£442total,Hotels.com
185,Orlando,Sunny Days,,10.0,(1),"£1,044total",Booking.com
186,Orlando,"Sheraton Vistana Resort Villas, Lake Buena Vista/Orlando","8800 Vistana Centre Drive, Orlando, FL 32821",8.8,"(2,247)",£455total,Booking.com
187,Orlando,Best Western Orlando Gateway Hotel,"7299 Universal Boulevard, Orlando, FL 32819-8353",8.0,"(6,639)",£302total,Booking.com
188,Orlando,Vista Cay Luxury Lakeview 4 bedroom condo (#3095),,9.3,(20),"£2,318total",Booking.com
189,Budapest,Barcelo Budapest,"Király Street 16, Budapest 1036",9.2,"(2,281)",£263total,Booking.com
190,Budapest,Anantara New York Palace Budapest,"Erzsebet Korut 9-11, Budapest 1073",9.1,"(2,966)",£484total,Anantara
191,Budapest,Ensana Thermal Margaret Island,"Margitsziget 3 Budapest HU, Budapest 1138",8.9,"(5,327)",£254total,Booking.com
192,Budapest,Citypark Villa Flat,District XIV - Zugló,9.9,(46),£215total,Booking.com
193,Budapest,Kempinski Hotel Corvinus Budapest,"Erzsébet Tér 7-8., Budapest 1051",9.1,"(2,308)",£658total,Booking.com
194,Budapest,Danubius Hotel Arena,"Ifjusag Utja 1-3, Budapest 1148",8.0,"(4,400)",£175total,Booking.com
195,Budapest,Elisabeth Apartment on Váci Street,District V - Belváros-Lipótváros,9.1,(71),£166total,Booking.com
196,Budapest,Danubius Hotel Helia,"Karpat U. 62-64, Budapest 1133",8.3,"(4,545)",£210total,Booking.com
197,Budapest,Hilton Budapest,"Hess A Ter 1-3, Budapest 1014",8.9,"(1,489)",£539total,Booking.com
198,Budapest,Helena apartment with view on St. Stephan's Basilica,District VI - Terézváros,9.3,(56),£202total,Booking.com
199,Edinburgh,Royal Mile Balconies by the Castle,"493 Lawnmarket,The Royal Mile, Edinburgh",8.3,(977),£327total,Booking.com
200,Edinburgh,Leonardo Royal Edinburgh Haymarket,"1 Morrison Link, Edinburgh, EH3 8DN",8.0,"(12,408)",£185total,Hotels.com
201,Edinburgh,The Glasshouse Autograph Collection,"2 Greenside Place, Edinburgh, EH1 3AA",8.9,(714),£457total,Autograph Collection
202,Edinburgh,Braid Apartments by Mansley,New Town,9.3,(585),£307total,Booking.com
203,Edinburgh,"Sheraton Grand Hotel & Spa, Edinburgh","1 Festival Square, Edinburgh, EH3 9SR",8.8,"(2,294)",£613total,Sheraton
204,Edinburgh,Royal Mile Suites by the Castle,"493 Lawnmarket, Old Town, Edinburgh, United Kingdom, Edinburgh, EH1 2PB",8.2,"(1,160)",£352total,Booking.com
205,Edinburgh,Destiny Scotland - St Andrew Square Apartments,New Town,8.8,(848),£255total,Booking.com
206,Edinburgh,"Kimpton Charlotte Square Hotel, An Ihg Hotel","38 Charlotte Square, Edinburgh, EH2 4HQ",9.1,"(2,829)",£640total,Booking.com
207,Edinburgh,Georgian House,"4c Merchiston Crescent Midlothian, Edinburgh, EH10 5AN",9.4,(86),£460total,Booking.com
208,Edinburgh,Quartermile Luxury Apartments,,9.3,(171),£390total,Booking.com
209,New York,Pestana Park Avenue,"23 East 39th Street, New York, NY 10016",8.6,(348),£514total,Booking.com
210,New York,Royalton Park Avenue,"420 Park Avenue South, New York, NY 10016",8.3,(314),£676total,Booking.com
211,New York,The Times Square EDITION,"20 Times Square, 701 7th Avenue, New York, NY 10036",9.0,(853),£976total,Booking.com
212,New York,"Perfectly Located Near Restaurants, Shops & Sites",Hell's Kitchen,8.5,(19),£661total,Booking.com
213,New York,Kimpton Hotel Eventi,"851 Avenue of The Americas, New York, NY 10001",8.5,(721),£827total,Booking.com
214,New York,The Quin Central Park by Hilton Club,"101 West 57th Street at Sixth Avenue, New York, NY 10019",8.2,(509),£707total,Hotels.com
215,New York,Sanctuary NYC Retreats,Lower East Side,9.0,(525),£488total,Hotels.com
216,New York,MOXY NYC Times Square,"485 7th Avenue, New York, NY 10018",8.2,"(11,291)",£415total,Booking.com
217,New York,11 Howard,"11 Howard Street, New York, NY 10013",8.2,(527),£869total,Hotels.com
218,New York,Great Cozy Apt,Harlem,9.7,(3),£623total,Booking.com
219,Bali,Alila Ubud,"Desa Melinggih Kelod, Denpasar 80572",8.9,(294),£414total,Booking.com
220,Bali,Villa Sanur harmony,"Jalan Kutat Lestari No. 24A, Denpasar 80227",8.2,(37),£57total,Booking.com
221,Bali,Jambuluwuk Oceano Seminyak Hotel,"Jl. Petitenget 108, Denpasar 80361",8.0,(874),£103total,Booking.com
222,Bali,Desa di Bali Villas,Kerobokan Kaja,8.6,(99),£134total,Booking.com
223,Bali,Hotel Indigo Bali Seminyak Beach,"Jl. Camplung Tanduk No. 10, Denpasar",9.4,"(1,069)",£461total,Booking.com
224,Bali,Conrad Bali,"Jalan Pratama 168, Tanjung Benoa, Denpasar 80363",8.9,(480),£299total,Booking.com
225,Bali,Paisa Villa Seminyak,Kerobokan Kelod,6.6,(79),£85total,Booking.com
226,Bali,"The Ritz-Carlton, Bali","Jalan Raya Nusa Dua Selaton Lot III, Sawangan, Nusa Dua, Denpasar 80363",8.9,(374),£818total,Ritz-Carlton Hotels
227,Bali,Klumpu Bali Resort,"Jl. Kesari, No. 16B, Denpasar 80228",9.6,(196),£167total,Booking.com
228,Bali,The Kings Villas And Spa Sanur,South Denpasar,7.9,(48),£315total,Booking.com
229,Lanzarote,Hotel Lancelot,"Mancomunidad Av 9, 35500 Arrecife, Lanzarote",8.6,"(1,763)",£249total,Expedia
230,Lanzarote,Hotel Diamar & Business Center,"Avenida Fred Olsen, 8, 35500 Arrecife, Lanzarote",8.2,(934),£202total,Expedia
231,Lanzarote,Arrecife Gran Hotel & Spa,"Parque Islas Canarias, 35500 Arrecife, Lanzarote",8.7,(638),£476total,loveholidays
232,Lanzarote,Vacation Apartment Lanzarote 'A',,8.0,(35),£148total,Booking.com
233,Lanzarote,El Charco Suites,"Jacinto Borges Diaz, 56 (Lanzarote), 35500 Arrecife, Lanzarote",8.5,(484),£252total,Expedia
234,Lanzarote,Barceló Teguise Beach - Adults only,"Plaza Janubio s/n, 35508 Costa, Lanzarote - Costa Teguise, 35509 Costa Teguise, Lanzarote",8.9,"(3,020)",£503total,Expedia
235,Lanzarote,Casa Daniela,,9.8,(38),£251total,Booking.com
236,Lanzarote,Dreams Lanzarote Playa Dorada Resort & Spa,"Urbanización Costa Del Papagayo, 35580 Arrecife, Lanzarote",8.7,"(1,560)",£692total,Expedia
237,Lanzarote,Oasis Lanz Beach Mate,"Avda Jablillo 5, 35508 Costa Teguise, Lanzarote",8.9,"(1,413)",£271total,Expedia
238,Lanzarote,Loft Life 2,,8.7,(7),£262total,Booking.com
239,Paris,Mercure Paris Pigalle Sacre Coeur,"21 Boulevard De Clichy, 75009 Paris",8.2,(658),£376total,Booking.com
240,Paris,La Maison Champs Elysees,"8 Rue Jean Goujon, 75008 Paris",8.1,(171),£743total,Hotels.com
241,Paris,Le Belleval,"16 Rue De La Pépinière, 75008 Paris",8.9,"(1,047)",£574total,Booking.com
242,Paris,Le Vintage,Quartier Latin,8.6,(60),£626total,Booking.com
243,Paris,Le 123 Elysees - Astotel,"123 Rue du Faubourg St. Honoré, 75008 Paris",8.9,(492),£728total,Booking.com
244,Paris,Hotel Opéra Opal,"19 Rue Tronchet, 75008 Paris",8.6,(737),£471total,Booking.com
245,Paris,Pepper & Paper Apartments,5th arrondissement,8.9,(249),£890total,Booking.com
246,Paris,Hotel Aulivia Opera,"4 Rue des Petites Ecuries, 75010 Paris",8.1,(703),£359total,Booking.com
247,Paris,CitizenM Paris Gare de Lyon,"8 Rue Van Gogh, 75012 Paris",8.6,"(11,198)",£394total,Hotels.com
248,Paris,Yays Paris Issy,,8.8,(357),£486total,Booking.com
249,Bangkok,Mövenpick Hotel Sukhumvit 15 Bangkok,"47 Sukhumvit 15, Klongtoey Nua, Bangkok 10110",8.4,"(4,336)",£221total,Booking.com
250,Bangkok,Royal Orchid Sheraton Hotel & Towers,"2 Charoen Krung Soi 30, Siphya, Bangkok 10500",8.6,"(2,285)",£249total,Booking.com
251,Bangkok,Millennium Hilton Bangkok,"123 Charoennakorn Road, Bangkok 10600",8.5,"(3,239)",£189total,Booking.com
252,Bangkok,Renaissance Bangkok Ratchaprasong Hotel,"518/8 Ploenchit Road, Bangkok 10330",8.9,(655),£258total,Booking.com
253,Bangkok,Pullman Bangkok King Power,"8-2 Rangnam Road, Bangkok 10400",8.9,(640),£183total,Booking.com
254,Bangkok,Le Méridien Bangkok,"40/5 Surawong Road, Bangkok 10500",8.8,(549),£435total,Booking.com
255,Bangkok,Bangkok Marriott Hotel Sukhumvit,"2 Sukhumvit Soi 57, Bangkok 10110",8.9,"(1,819)",£250total,Booking.com
256,Bangkok,Avani Sukhumvit Bangkok Hotel,"2089 Sukhumvit Road, Bangkok 10260",8.8,(259),£159total,Booking.com
257,Bangkok,W Bangkok,"106 North Sathorn Road, Silom, Bangrak, Bangkok 10500",9.1,(694),£357total,Booking.com
258,Bangkok,Hansar Bangkok,"3 Soi Mahadlekluang 2, Rajdamri Road, Bangkok 10330",8.7,(283),£239total,Booking.com
259,London,Egerton House Hotel,"17-19 Egerton Terrace, London, SW3 2BX",9.4,(275),£960total,Booking.com
260,London,Boundary London,"2-4 Boundary St (Enter on Redchurch St), London, E2 7JE",8.6,(217),"£1,040total",Booking.com
261,London,"Montcalm East, Autograph Collection","151-157 City Road, London, EC1V 1JS",8.9,"(5,444)",£642total,Booking.com
262,London,"Beautiful, Secure, 2-bedroom Canal-side Apartment",Tower Hamlets,9.6,(70),£695total,Booking.com
263,London,Redchurch Townhouse,"25 Whitby Street Shoreditch, London, E1 6JU",9.5,(540),£820total,Booking.com
264,London,The Rubens at the Palace,"39 Buckingham Palace Road, London, SW1W 0PS",8.9,"(1,815)",£612total,Booking.com
265,London,Cheval Three Quays,City of London,9.4,(517),£992total,Booking.com
266,London,The Barbican Rooms,"42-46 Chiswell Street, London, EC1Y 4SD",8.4,"(1,783)",£768total,Booking.com
267,London,Hurlingham Bed and Breakfast,"6 Grimston Road Grimston Road, London, SW6 3QP",9.2,(48),£520total,Booking.com
268,London,Canary Wharf - Luxury Apartments,Tower Hamlets,8.9,(117),£508total,Hotels.com
269,Murcia,Hotel Nelva,"Avenida Primero De Mayo, 5, 30006 Murcia",8.8,"(3,980)",£223total,Booking.com
270,Murcia,Occidental Murcia Siete Coronas,"Paseo de Garay, 5, Murcia",8.9,"(3,683)",£232total,Booking.com
271,Murcia,NH Amistad Murcia,"Condestable, 1, 30009 Murcia",8.4,"(1,943)",£212total,NH Hotels
272,Murcia,Beautiful Villa in Murcia with pool just 10m away,,9.4,(7),£215total,Booking.com
273,Murcia,Tryp Murcia Rincón De Pepe,"Calle Apostoles, 34, 30001 Murcia",8.8,"(1,875)",£234total,Booking.com
274,Murcia,Catalonia Conde de Floridablanca,"Calle Princesa, 18, 30002 Murcia",8.7,"(1,731)",£196total,Booking.com
275,Murcia,Apartamento Floridablanca,,8.5,(147),£211total,Booking.com
276,Murcia,Agalia Hotel,"Avda. Arquitecto Miguel Ángel Beloqui 7, 30006 Murcia",8.3,"(2,843)",£211total,Hotels.com
277,Murcia,AC Hotel Murcia by Marriott,"Avenida Juan Carlos I, 39, 30009 Murcia",8.4,(998),£227total,Booking.com
278,Murcia,Apartamento Florencia,,8.6,(7),£261total,Booking.com
279,Faro,Ap Eva Senses,"Avenida da Republica, 1, 8000-078 Faro, Faro",8.5,"(4,268)",£299total,Booking.com
280,Faro,Hotel 3K Faro Aeroporto,"Estrada do Aeroporto EN 125-10 KM 262+2 Esq, Montenegro, 8000-124 Faro, Faro",8.3,"(4,557)",£176total,Booking.com
281,Faro,3hb Faro,"Rua Vasco da Gama nr 33, 8000-442 Faro, Faro",9.5,(471),£542total,Booking.com
282,Faro,My Place @ Faro Ria Views,,9.7,(106),£254total,Booking.com
283,Faro,Real Marina Hotel & Spa,"Av. 5 de Outubro, 1, 8700-307 Olhão, Faro",8.7,"(2,534)",£284total,Expedia
284,Faro,Best Western Hotel Dom Bernardo,"Rua General Teofilo da Trindade 20, 8000-356 Faro, Faro",8.2,"(2,313)",£165total,Expedia
285,Faro,The Sunny Cottage,,9.8,(36),£271total,Booking.com
286,Faro,Hotel Monaco,"Rua Batista Severino - Urb. Monte da Ria, 1153, 8005-237 Faro, Faro",7.9,"(1,895)",£243total,Expedia
287,Faro,Crowne Plaza Vilamoura - Algarve,"Rua Do Oceano Atlantico, 8125-478 Vilamoura, Faro",8.9,"(1,568)",£430total,Expedia
288,Faro,Apartamento Gulbenkian,,8.9,(33),£222total,Expedia
289,Las Vegas,Paris Las Vegas,"3655 Las Vegas Boulevard South, Las Vegas, NV 89109",8.1,"(12,700)",£294total,Expedia
290,Las Vegas,Four Seasons Hotel Las Vegas,"3960 Las Vegas Boulevard South, Las Vegas, NV 89119",9.1,(347),"£1,081total",Booking.com
291,Las Vegas,Secret Suites at Vdara,"2600 W Harmon Ave, Las Vegas, NV 89158",9.3,(29),"£2,003total",Expedia
292,Las Vegas,Stripviewsuites At Signature,The Strip,7.7,(113),£493total,Booking.com
293,Las Vegas,Waldorf Astoria Las Vegas,"3752 Las Vegas Boulevard South, Las Vegas, NV 89158",8.6,(453),"£1,358total",Expedia
294,Las Vegas,"Red Rock Casino, Resort and Spa","11011 West Charleston Boulevard, Las Vegas, NV 89135",8.5,(534),£769total,Preferred Hotels & Resorts
295,Las Vegas,"Luxury Studio Mgm Signature, Great Location, Lazy River, No Resort Fees",The Strip,9.5,(29),£656total,Booking.com
296,Las Vegas,Caesars Palace - Resort & Casino,"3570 Las Vegas Boulevard South, Las Vegas, NV 89109",8.0,"(6,893)",£446total,Expedia
297,Las Vegas,Planet Hollywood Resort & Casino,"3667 Las Vegas Boulevard South, Las Vegas, NV 89109",8.2,"(6,982)",£304total,Booking.com
298,Las Vegas,Suites at Elara Las Vegas Strip-No Resort Fees,The Strip,8.7,(17),£809total,Booking.com
299,Ibiza,Eurostars Ibiza,"Calle Ramon Muntaner 25, 07800 Ibiza, Ibiza Island",8.7,(639),£370total,Expedia
300,Ibiza,Gran Hotel Montesol Ibiza,"Passeig de Vara de Rey 2, 07800 Ibiza, Ibiza Island",8.6,(336),£525total,Booking.com
301,Ibiza,Lux Isla,"Josep Pla, 1, 07800 Ibiza, Ibiza Island",9.1,"(1,414)",£269total,Booking.com
302,Ibiza,5 Star 3 Bedroom Apartment White Angel,,8.8,(5),£846total,Booking.com
303,Ibiza,THB Los Molinos Adults Only,"C/ Ramon Muntaner, 60, Ibiza, Ibiza Island",8.5,"(1,932)",£349total,travelup
304,Ibiza,Hotel Royal Plaza,"Pere Francès 27-29, 07800 Ibiza, Ibiza Island",8.1,"(1,250)",£355total,lastminute.com
305,Ibiza,105 Suites @ Marina Magna,,8.9,(458),£400total,Booking.com
306,Ibiza,Hotel Simbad,"Ses Figueres 22, Talamanca, 07800 Ibiza, Ibiza Island",8.2,(859),£304total,lastminute.com
307,Ibiza,Ocean Drive Ibiza,"Playa de Talamanca, Apt. 223, Ibiza, Spain, Ibiza, Ibiza Island",8.1,(423),£288total,Snaptravel
308,Ibiza,Apartamentos Mariano,,8.4,(299),£376total,Booking.com
